student_id,gpa,conduct_score,scholarship_type,approved
SV0163,3.77,92,Khuyến khích học tập,Có
SV0164,3.47,66,,Không
SV0165,0.9,89,,Không
SV0166,2.76,91,,Không
SV0167,1.19,96,,Không
SV0168,1.15,74,,Không
SV0169,3.03,98,,Không
SV0170,3.98,73,,Không
SV0171,1.7,96,,Không
SV0172,3.67,98,Khuyến khích học tập,Có
SV0173,1.83,98,,Không
SV0174,2.57,89,,Không
SV0175,3.28,83,Khuyến khích học tập,Có
SV0176,0.89,76,,Không
SV0177,3.21,68,,Không
SV0178,0.67,90,,Không
SV0179,1.61,74,,Không
SV0180,3.08,76,,Không
SV0181,2.86,67,,Không
SV0182,1.5,93,,Không
SV0183,1.89,73,,Không
SV0184,0.62,90,,Không
SV0185,3.12,87,,Không
SV0186,2.77,63,,Không
SV0187,3.09,94,,Không
SV0188,2.65,85,,Không
SV0189,0.91,60,,Không
SV0190,3.57,95,Khuyến khích học tập,Có
SV0191,2.08,92,,Không
SV0192,0.75,75,,Không
SV0193,2.87,82,,Không
SV0194,0.66,89,,Không
SV0195,1.79,88,,Không
SV0196,0.59,92,,Không
SV0197,3.45,67,,Không
SV0198,2.62,97,,Không
SV0199,2.15,73,,Không
SV0200,2.01,65,,Không
SV0201,0.6,89,,Không
SV0202,2.05,71,,Không
SV0203,2.81,69,,Không
SV0204,1.25,66,,Không
SV0205,2.06,60,,Không
SV0206,1.37,82,,Không
SV0207,3.23,95,Khuyến khích học tập,Có
SV0208,2.9,66,,Không
SV0209,1.28,81,,Không
SV0210,3.28,99,Khuyến khích học tập,Có
SV0211,1.69,89,,Không
SV0212,3.95,73,,Không
SV0213,1.0,100,,Không
SV0214,1.09,87,,Không
SV0215,3.79,76,,Không
SV0216,1.53,86,,Không
SV0217,0.64,63,,Không
SV0218,3.05,85,,Không
SV0219,0.86,80,,Không
SV0220,1.4,73,,Không
SV0221,0.86,87,,Không
SV0222,2.48,72,,Không
SV0223,2.43,62,,Không
SV0224,0.64,82,,Không
SV0225,0.73,83,,Không
SV0226,2.04,89,,Không
SV0227,1.65,63,,Không
SV0228,3.7,66,,Không
SV0229,2.0,100,,Không
SV0230,1.59,97,,Không
SV0231,0.75,78,,Không
SV0232,1.2,66,,Không
SV0233,2.35,89,,Không
SV0234,3.13,100,,Không
SV0235,0.88,99,,Không
SV0236,3.84,86,Khuyến khích học tập,Có
SV0237,1.84,100,,Không
SV0238,3.07,64,,Không
SV0239,3.85,97,Khuyến khích học tập,Có
SV0240,1.25,77,,Không
SV0241,3.6,72,,Không
SV0242,1.41,74,,Không
SV0243,1.19,63,,Không
SV0244,0.58,71,,Không
SV0245,3.15,97,,Không
SV0246,2.9,76,,Không
SV0247,3.07,87,,Không
SV0248,3.53,93,Khuyến khích học tập,Có
SV0249,0.52,99,,Không
SV0250,1.1,77,,Không
