transaction_id,transaction_date,branch,account_type,transaction_type,channel,customer_segment,status,risk_level,risk_score,amount,transaction_fee,account_balance,monthly_income,credit_score
TXN0034,2026-02-03,Da Nang,Credit,Withdrawal,Internet Banking,Premium,Completed,Low,27,4226218.94,8452.44,131188314.86,39052360.98,660
TXN0035,2026-02-04,Ho Chi Minh,Savings,Payment,Mobile App,SME,Completed,Low,26,5822029.23,8733.04,125357552.59,106338661.5,673
TXN0036,2026-02-05,Can Tho,Current,Withdrawal,Mobile App,Corporate,Completed,Low,23,4887366.12,9774.73,120460411.74,176934283.68,686
TXN0037,2026-02-06,Ha Noi,Credit,Payment,POS,Retail,Completed,Medium,49,4859716.41,7289.57,115593405.76,14474336.92,628
TXN0038,2026-02-07,Hai Phong,Investment,Deposit,Branch,Premium,Pending,Low,28,10505857.41,0.0,126099263.17,38457670.48,681
TXN0039,2026-02-08,Da Nang,Savings,Transfer,ATM,SME,Completed,Medium,40,8480442.81,29681.55,117589138.81,113201647.16,638
TXN0040,2026-02-09,Ho Chi Minh,Current,Loan Repayment,Internet Banking,Corporate,Completed,Low,24,10110655.0,10110.66,107468373.15,233928964.37,711
TXN0041,2026-02-10,Can Tho,Credit,Withdrawal,Mobile App,Retail,Pending,Low,38,9296123.68,18592.25,98153657.22,15146479.99,642
TXN0042,2026-02-11,Ha Noi,Savings,Payment,Mobile App,Premium,Completed,Low,13,2695317.06,4042.98,95454297.18,43129584.69,729
TXN0043,2026-02-12,Hai Phong,Current,Deposit,POS,SME,Completed,Medium,45,8968790.48,0.0,104423087.66,88438870.56,670
TXN0044,2026-02-13,Da Nang,Credit,Transfer,Branch,Retail,Completed,Medium,41,12601440.28,44105.04,91777542.34,15032488.57,627
TXN0045,2026-02-14,Ho Chi Minh,Investment,Deposit,ATM,Premium,Completed,Medium,58,16335353.14,0.0,108112895.48,52262395.12,633
TXN0046,2026-02-15,Can Tho,Savings,Transfer,Internet Banking,SME,Completed,Low,38,9063557.62,31722.45,99017615.41,75292920.03,675
TXN0047,2026-02-16,Ha Noi,Current,Loan Repayment,Mobile App,Corporate,Completed,Low,26,4162681.63,4162.68,94850771.1,201846042.81,668
TXN0048,2026-02-17,Hai Phong,Credit,Withdrawal,Mobile App,Retail,Pending,Low,18,3810621.54,7621.24,91032528.32,19385739.62,665
TXN0049,2026-02-18,Da Nang,Savings,Payment,POS,Premium,Completed,Low,38,3207641.67,4811.46,87820075.19,56883979.88,657
TXN0050,2026-02-19,Ho Chi Minh,Current,Deposit,Branch,SME,Completed,Low,35,13191643.86,0.0,101011719.05,100748666.04,631
TXN0051,2026-02-20,Can Tho,Credit,Transfer,ATM,Corporate,Completed,Low,34,6758905.91,23656.17,94229156.97,180370266.74,716
TXN0052,2026-02-21,Ha Noi,Investment,Loan Repayment,Internet Banking,Retail,Completed,Low,27,10058117.3,10058.12,84160981.55,16125484.11,681
TXN0053,2026-02-22,Hai Phong,Savings,Withdrawal,Mobile App,Premium,Pending,Low,27,8085533.39,16171.07,76059277.09,37654234.1,709
TXN0054,2026-02-23,Da Nang,Current,Loan Repayment,Mobile App,SME,Completed,Medium,40,8206417.87,8206.42,67844652.8,99871827.73,607
TXN0055,2026-02-24,Ho Chi Minh,Credit,Withdrawal,POS,Retail,Completed,Medium,47,7801677.41,15603.35,60027372.04,22795407.04,611
TXN0056,2026-02-25,Can Tho,Savings,Payment,Branch,Premium,Completed,Low,22,2236715.89,3355.07,57787301.08,40490618.25,696
TXN0057,2026-02-26,Ha Noi,Current,Deposit,ATM,SME,Completed,Medium,56,13578221.32,0.0,71365522.4,80567203.13,629
TXN0058,2026-02-27,Hai Phong,Credit,Transfer,Internet Banking,Corporate,Completed,Low,27,11816318.28,41357.11,59507847.01,176934001.48,670
TXN0059,2026-02-28,Da Nang,Investment,Loan Repayment,Mobile App,Retail,Completed,Low,26,3790452.23,3790.45,55713604.33,16093357.1,668
TXN0060,2026-03-01,Ho Chi Minh,Savings,Withdrawal,Mobile App,Premium,Completed,Low,18,6625000.83,13250.0,169075353.5,35612285.54,719
TXN0061,2026-03-02,Can Tho,Current,Payment,POS,SME,Completed,Medium,47,5185156.82,7777.74,163882418.94,96334223.54,612
TXN0062,2026-03-03,Ha Noi,Credit,Deposit,Branch,Corporate,Completed,Low,37,7746766.4,0.0,171629185.34,213816108.18,704
TXN0063,2026-03-04,Hai Phong,Savings,Payment,ATM,Retail,Completed,Low,35,5331714.12,7997.57,166289473.65,14517656.85,665
TXN0064,2026-03-05,Da Nang,Current,Deposit,Internet Banking,Premium,Completed,Medium,45,16945527.86,0.0,183235001.51,37575195.12,703
TXN0065,2026-03-06,Ho Chi Minh,Credit,Transfer,Mobile App,SME,Failed,Medium,61,12753022.01,44635.58,170437343.92,111130102.13,594
TXN0066,2026-03-07,Can Tho,Investment,Loan Repayment,Mobile App,Retail,Completed,Medium,41,9835948.71,9835.95,160591559.26,21442127.88,666
TXN0067,2026-03-08,Ha Noi,Savings,Withdrawal,POS,Premium,Completed,Medium,52,9176437.61,18352.88,151396768.77,36425366.75,694
TXN0068,2026-03-09,Hai Phong,Current,Payment,Branch,SME,Completed,Low,32,5652212.82,8478.32,145736077.63,90285010.12,633
TXN0069,2026-03-10,Da Nang,Credit,Deposit,ATM,Corporate,Completed,Medium,49,17349144.02,0.0,163085221.65,154119849.04,658
TXN0070,2026-03-11,Ho Chi Minh,Savings,Transfer,Internet Banking,Retail,Failed,Medium,52,13917679.98,48711.88,149118829.79,19850669.21,626
TXN0071,2026-03-12,Can Tho,Current,Loan Repayment,Mobile App,Premium,Completed,Medium,45,12769838.96,12769.84,136336220.99,36604708.36,706
TXN0072,2026-03-13,Ha Noi,Credit,Transfer,Mobile App,SME,Failed,Medium,42,7412174.87,25942.61,128898103.51,72865926.09,636
TXN0073,2026-03-14,Hai Phong,Investment,Loan Repayment,POS,Corporate,Completed,Medium,51,11012297.43,11012.3,117874793.78,185630882.91,661
TXN0074,2026-03-15,Da Nang,Savings,Withdrawal,Branch,Retail,Completed,Low,34,8537787.79,17075.58,109319930.41,13516743.65,675
TXN0075,2026-03-16,Ho Chi Minh,Current,Payment,ATM,Premium,Completed,Medium,45,4892000.32,7338.0,104420592.09,50348055.48,663
TXN0076,2026-03-17,Can Tho,Credit,Deposit,Internet Banking,SME,Completed,Low,27,8918685.9,0.0,113339277.99,83038824.43,675
TXN0077,2026-03-18,Ha Noi,Savings,Transfer,Mobile App,Retail,Completed,Low,34,13872543.55,48553.9,99418180.54,17543089.8,639
TXN0078,2026-03-19,Hai Phong,Current,Loan Repayment,Mobile App,Premium,Completed,Low,28,7788673.97,7788.67,91621717.9,57024000.85,697
TXN0079,2026-03-20,Da Nang,Credit,Withdrawal,POS,SME,Completed,Medium,46,11718929.86,23437.86,79879350.18,94622892.05,602
TXN0080,2026-03-21,Ho Chi Minh,Investment,Payment,Branch,Corporate,Completed,Low,25,3983929.13,5975.89,75889445.16,199815856.75,685
TXN0081,2026-03-22,Can Tho,Savings,Withdrawal,ATM,Retail,Completed,Medium,44,8145663.5,16291.33,67727490.33,22421690.18,659
TXN0082,2026-03-23,Ha Noi,Current,Payment,Internet Banking,Premium,Completed,Low,23,3478838.67,5218.26,64243433.4,49415286.18,677
TXN0083,2026-03-24,Hai Phong,Credit,Deposit,Mobile App,SME,Completed,Medium,52,21011416.53,0.0,85254849.93,78619712.97,612
TXN0084,2026-03-25,Da Nang,Savings,Transfer,Mobile App,Corporate,Completed,Low,27,6645771.65,23260.2,78585818.08,219124031.77,656
TXN0085,2026-03-26,Ho Chi Minh,Current,Loan Repayment,POS,Retail,Completed,Medium,40,9329991.2,9329.99,69246496.89,20393907.08,641
TXN0086,2026-03-27,Can Tho,Credit,Withdrawal,Branch,Premium,Completed,Low,18,6671128.56,13342.26,62562026.07,52336370.8,711
TXN0087,2026-03-28,Ha Noi,Investment,Payment,ATM,SME,Completed,Low,31,3227989.68,4841.98,59329194.41,114919319.09,649
TXN0088,2026-03-29,Hai Phong,Savings,Deposit,Internet Banking,Retail,Completed,Low,38,9314968.95,0.0,68644163.36,18018972.07,664
TXN0089,2026-03-30,Da Nang,Current,Transfer,Mobile App,Premium,Failed,Medium,59,14148822.92,49520.88,54445819.56,57263480.31,691
TXN0090,2026-03-31,Ho Chi Minh,Credit,Deposit,Mobile App,SME,Completed,Medium,45,17962347.12,0.0,72408166.68,108613173.9,641
TXN0091,2026-04-01,Can Tho,Savings,Transfer,POS,Corporate,Completed,Medium,57,16700317.17,58451.11,55649398.4,160659963.3,647
TXN0092,2026-04-02,Ha Noi,Current,Loan Repayment,Branch,Retail,Completed,Low,35,11360648.19,11360.65,164277389.56,19704809.53,629
TXN0093,2026-04-03,Hai Phong,Credit,Withdrawal,ATM,Premium,Completed,Low,36,5168380.39,10336.76,159098672.41,41662811.82,682
TXN0094,2026-04-04,Da Nang,Investment,Payment,Internet Banking,SME,Completed,Low,26,3289608.9,4934.41,155804129.1,102467747.51,621
TXN0095,2026-04-05,Ho Chi Minh,Savings,Deposit,Mobile App,Corporate,Completed,Low,37,14325995.85,0.0,170130124.95,155476604.56,673
TXN0096,2026-04-06,Can Tho,Current,Transfer,Mobile App,Retail,Completed,Medium,46,16165479.99,56579.18,153908065.78,21981647.12,656
TXN0097,2026-04-07,Ha Noi,Credit,Loan Repayment,POS,Premium,Completed,Medium,42,8523108.28,8523.11,145376434.39,52398509.35,700
TXN0098,2026-04-08,Hai Phong,Savings,Withdrawal,Branch,SME,Completed,Medium,40,11798271.97,23596.54,133554565.88,94533549.33,649
TXN0099,2026-04-09,Da Nang,Current,Loan Repayment,ATM,Retail,Completed,Medium,42,6890588.16,6890.59,126657087.13,13787345.72,629
TXN0100,2026-04-10,Ho Chi Minh,Credit,Withdrawal,Internet Banking,Premium,Completed,Low,25,9400763.7,18801.53,117237521.9,45317906.19,661
TXN0101,2026-04-11,Can Tho,Investment,Payment,Mobile App,SME,Completed,Low,23,5169026.56,7753.54,112060741.8,95437403.16,620
TXN0102,2026-04-12,Ha Noi,Savings,Deposit,Mobile App,Corporate,Completed,Medium,41,16369587.42,0.0,128430329.22,139978178.72,667
TXN0103,2026-04-13,Hai Phong,Current,Transfer,POS,Retail,Completed,Medium,49,7723476.18,27032.17,120679820.87,17253349.53,653
TXN0104,2026-04-14,Da Nang,Credit,Loan Repayment,Branch,Premium,Completed,Low,26,11500157.55,11500.16,109168163.16,34229736.35,689
TXN0105,2026-04-15,Ho Chi Minh,Savings,Withdrawal,ATM,SME,Completed,Medium,52,11005975.73,22011.95,98140175.48,106171035.96,644
TXN0106,2026-04-16,Can Tho,Current,Payment,Internet Banking,Corporate,Pending,Low,19,5330387.99,7995.58,92801791.91,137017621.71,667
TXN0107,2026-04-17,Ha Noi,Credit,Deposit,Mobile App,Retail,Completed,Low,32,8592534.09,0.0,101394326.0,15657848.95,661
TXN0108,2026-04-18,Hai Phong,Investment,Payment,Mobile App,Premium,Completed,Low,27,5217991.6,7826.99,96168507.41,52261159.89,659
TXN0109,2026-04-19,Da Nang,Savings,Deposit,POS,SME,Failed,Medium,68,16877780.79,0.0,113046288.2,68771082.06,609
TXN0110,2026-04-20,Ho Chi Minh,Current,Transfer,Branch,Retail,Failed,Medium,50,11182323.84,39138.13,101824826.23,20578645.58,605
TXN0111,2026-04-21,Can Tho,Credit,Loan Repayment,ATM,Premium,Completed,Low,38,9289572.59,9289.57,92525964.07,52868901.9,702
TXN0112,2026-04-22,Ha Noi,Savings,Withdrawal,Internet Banking,SME,Completed,Low,38,7368812.31,14737.62,85142414.14,106240449.64,632
TXN0113,2026-04-23,Hai Phong,Current,Payment,Mobile App,Corporate,Completed,Low,23,3619762.41,5429.64,81517222.09,168781886.31,713
TXN0114,2026-04-24,Da Nang,Credit,Deposit,Mobile App,Retail,Completed,Medium,51,15859158.95,0.0,97376381.04,19792292.55,657
TXN0115,2026-04-25,Ho Chi Minh,Investment,Transfer,POS,Premium,Completed,Medium,53,10792653.76,37774.29,86545952.99,57645474.85,651
TXN0116,2026-04-26,Can Tho,Savings,Loan Repayment,Branch,SME,Completed,Low,32,9635696.37,9635.7,76900620.92,89060937.4,663
TXN0117,2026-04-27,Ha Noi,Current,Transfer,ATM,Corporate,Completed,Medium,49,6920548.08,24221.92,69955850.92,143579626.91,697
TXN0118,2026-04-28,Hai Phong,Credit,Loan Repayment,Internet Banking,Retail,Completed,Low,28,5565749.2,5565.75,64384535.97,17251994.11,617
TXN0119,2026-04-29,Da Nang,Savings,Withdrawal,Mobile App,Premium,Completed,Low,24,8483515.76,16967.03,55884053.18,53496350.83,677
TXN0120,2026-04-30,Ho Chi Minh,Current,Payment,Mobile App,SME,Completed,Low,21,5055271.25,7582.91,50821199.02,68002480.16,686
TXN0121,2026-05-01,Can Tho,Credit,Deposit,POS,Retail,Completed,Medium,43,7095320.37,0.0,57916519.39,21005830.07,653
TXN0122,2026-05-02,Ha Noi,Investment,Transfer,Branch,Premium,Completed,Low,38,10032134.61,35112.47,167849272.31,36053070.43,658
TXN0123,2026-05-03,Hai Phong,Savings,Loan Repayment,ATM,SME,Completed,Medium,47,8713665.92,8713.67,159126892.72,90926394.19,639
TXN0124,2026-05-04,Da Nang,Current,Withdrawal,Internet Banking,Corporate,Completed,Low,23,5965358.35,11930.72,153149603.65,204582639.28,672
TXN0125,2026-05-05,Ho Chi Minh,Credit,Payment,Mobile App,Retail,Completed,Low,16,2885814.75,4328.72,150259460.18,14683591.94,661
TXN0126,2026-05-06,Can Tho,Savings,Withdrawal,Mobile App,Premium,Completed,Low,24,8154256.7,16308.51,142088894.97,45733915.03,703
TXN0127,2026-05-07,Ha Noi,Current,Payment,POS,SME,Completed,Low,37,5603809.42,8405.71,136476679.84,72476042.35,622
TXN0128,2026-05-08,Hai Phong,Credit,Deposit,Branch,Corporate,Completed,Low,21,9119022.01,0.0,145595701.85,187879373.84,674
TXN0129,2026-05-09,Da Nang,Investment,Transfer,ATM,Retail,Completed,Medium,57,13584345.45,47545.21,131963811.19,14750166.98,655
TXN0130,2026-05-10,Ho Chi Minh,Savings,Loan Repayment,Internet Banking,Premium,Pending,Low,31,7840159.24,7840.16,124115811.79,45367574.39,679
TXN0131,2026-05-11,Can Tho,Current,Withdrawal,Mobile App,SME,Completed,Low,34,4866799.85,9733.6,119239278.34,91147594.77,668
TXN0132,2026-05-12,Ha Noi,Credit,Payment,Mobile App,Retail,Completed,Low,26,3742448.88,5613.67,115491215.79,14030729.84,627
TXN0133,2026-05-13,Hai Phong,Savings,Deposit,POS,Premium,Completed,Medium,63,14064603.71,0.0,129555819.5,36681676.16,679
TXN0134,2026-05-14,Da Nang,Current,Transfer,Branch,SME,Completed,Low,29,11148962.07,39021.37,118367836.06,93367340.49,646
TXN0135,2026-05-15,Ho Chi Minh,Credit,Deposit,ATM,Corporate,Pending,Medium,62,12985810.5,0.0,131353646.56,165232644.19,670
TXN0136,2026-05-16,Can Tho,Investment,Transfer,Internet Banking,Retail,Completed,Medium,44,11578364.56,40524.28,119734757.72,15557100.27,618
TXN0137,2026-05-17,Ha Noi,Savings,Loan Repayment,Mobile App,Premium,Completed,Low,26,10250008.27,10250.01,109474499.44,35607855.51,651
TXN0138,2026-05-18,Hai Phong,Current,Withdrawal,Mobile App,SME,Completed,Low,25,7472206.47,14944.41,101987348.56,78958073.61,666
TXN0139,2026-05-19,Da Nang,Credit,Payment,POS,Corporate,Completed,Medium,45,5565912.4,8348.87,96413087.29,226467193.4,693
TXN0140,2026-05-20,Ho Chi Minh,Savings,Deposit,Branch,Retail,Completed,Medium,51,16764021.06,0.0,113177108.35,17708875.76,637
TXN0141,2026-05-21,Can Tho,Current,Transfer,ATM,Premium,Pending,Medium,59,13026520.91,45592.82,100104994.62,35517393.46,640
TXN0142,2026-05-22,Ha Noi,Credit,Loan Repayment,Internet Banking,SME,Completed,Low,31,7897387.11,7897.39,92199710.12,81786224.12,622
TXN0143,2026-05-23,Hai Phong,Investment,Withdrawal,Mobile App,Retail,Completed,Medium,41,10036366.45,20072.73,82143270.94,18454674.55,640
TXN0144,2026-05-24,Da Nang,Savings,Loan Repayment,Mobile App,Premium,Completed,Low,25,5979283.31,5979.28,76158008.35,41727459.19,670
TXN0145,2026-05-25,Ho Chi Minh,Current,Withdrawal,POS,SME,Failed,Medium,65,5343225.8,10686.45,70804096.1,95972355.91,656
TXN0146,2026-05-26,Can Tho,Credit,Payment,Branch,Corporate,Completed,Low,24,7643151.79,11464.73,63149479.58,138982935.64,706
TXN0147,2026-05-27,Ha Noi,Savings,Deposit,ATM,Retail,Completed,Medium,65,16080826.28,0.0,79230305.86,15296742.56,630
TXN0148,2026-05-28,Hai Phong,Current,Transfer,Internet Banking,Premium,Completed,Low,31,14150711.65,49527.49,65030066.72,42362036.14,671
TXN0149,2026-05-29,Da Nang,Credit,Loan Repayment,Mobile App,SME,Completed,Low,32,12259475.46,12259.48,52758331.78,101836846.86,632
TXN0150,2026-05-30,Ho Chi Minh,Investment,Withdrawal,Mobile App,Corporate,Completed,Low,38,13128857.05,26257.71,159603217.02,180027764.95,665
TXN0151,2026-05-31,Can Tho,Savings,Payment,POS,Retail,Failed,Medium,55,4514955.3,6772.43,155081489.29,18594502.9,665
TXN0152,2026-06-01,Ha Noi,Current,Deposit,Branch,Premium,Completed,Medium,46,19834736.22,0.0,174916225.51,38392667.9,663
TXN0153,2026-06-02,Hai Phong,Credit,Payment,ATM,SME,Completed,Medium,48,6826890.97,10240.34,168079094.2,77576132.8,639
TXN0154,2026-06-03,Da Nang,Savings,Deposit,Internet Banking,Retail,Completed,Medium,58,24469039.92,0.0,192548134.12,14702118.23,662
TXN0155,2026-06-04,Ho Chi Minh,Current,Transfer,Mobile App,Premium,Completed,Low,32,14424439.29,50485.54,178073209.29,47383265.42,686
TXN0156,2026-06-05,Can Tho,Credit,Loan Repayment,Mobile App,SME,Failed,Medium,54,6678068.86,6678.07,171388462.36,90341670.76,605
TXN0157,2026-06-06,Ha Noi,Investment,Withdrawal,POS,Corporate,Completed,Medium,55,12432906.61,24865.81,158930689.94,185378329.49,650
TXN0158,2026-06-07,Hai Phong,Savings,Payment,Branch,Retail,Failed,Medium,41,7270713.39,10906.07,151649070.48,18957524.26,633
TXN0159,2026-06-08,Da Nang,Current,Deposit,ATM,Premium,Completed,High,77,24336845.8,0.0,175985916.28,55134666.63,635
TXN0160,2026-06-09,Ho Chi Minh,Credit,Transfer,Internet Banking,SME,Completed,Medium,51,16550639.22,57927.24,159377349.82,92633014.95,656
TXN0161,2026-06-10,Can Tho,Savings,Loan Repayment,Mobile App,Corporate,Completed,Low,32,8527398.2,8527.4,150841424.22,233891330.99,681
TXN0162,2026-06-11,Ha Noi,Current,Transfer,Mobile App,Retail,Completed,Low,27,8528672.01,29850.35,142282901.86,18963982.43,654
TXN0163,2026-06-12,Hai Phong,Credit,Loan Repayment,POS,Premium,Completed,Medium,41,10151120.29,10151.12,132121630.45,51013086.08,681
TXN0164,2026-06-13,Da Nang,Investment,Withdrawal,Branch,SME,Completed,Low,19,6797877.54,13595.76,125310157.15,104362905.0,671
TXN0165,2026-06-14,Ho Chi Minh,Savings,Payment,ATM,Retail,Completed,Medium,46,6838370.05,10257.56,118461529.54,21625400.76,671
TXN0166,2026-06-15,Can Tho,Current,Deposit,Internet Banking,Premium,Completed,Medium,42,16405088.21,0.0,134866617.75,48356965.63,701
TXN0167,2026-06-16,Ha Noi,Credit,Transfer,Mobile App,SME,Completed,Medium,43,16569788.67,57994.26,118238834.82,90117939.69,655
TXN0168,2026-06-17,Hai Phong,Savings,Loan Repayment,Mobile App,Corporate,Completed,Low,24,9192219.88,9192.22,109037422.72,181479569.5,721
TXN0169,2026-06-18,Da Nang,Current,Withdrawal,POS,Retail,Completed,Medium,46,7277020.69,14554.04,101745847.99,21932476.39,662
TXN0170,2026-06-19,Ho Chi Minh,Credit,Payment,Branch,Premium,Completed,Low,24,6654432.45,9981.65,95081433.89,51538256.27,706
TXN0171,2026-06-20,Can Tho,Investment,Withdrawal,ATM,SME,Completed,Medium,41,11322547.62,22645.1,83736241.17,98742470.33,670
TXN0172,2026-06-21,Ha Noi,Savings,Payment,Internet Banking,Corporate,Completed,Low,27,7094183.5,10641.28,76631416.39,144745869.51,695
TXN0173,2026-06-22,Hai Phong,Current,Deposit,Mobile App,Retail,Completed,Medium,52,20281632.51,0.0,96913048.9,22443898.21,601
TXN0174,2026-06-23,Da Nang,Credit,Transfer,Mobile App,Premium,Completed,Low,36,14171332.35,49599.66,82692116.89,37352852.44,681
TXN0175,2026-06-24,Ho Chi Minh,Savings,Loan Repayment,POS,SME,Completed,Medium,40,9637374.77,9637.37,73045104.75,71408933.36,667
TXN0176,2026-06-25,Can Tho,Current,Withdrawal,Branch,Retail,Completed,Low,39,8618884.47,17237.77,64408982.51,14916865.43,639
TXN0177,2026-06-26,Ha Noi,Credit,Payment,ATM,Premium,Completed,Low,28,3410061.54,5115.09,60993805.88,53664668.66,713
TXN0178,2026-06-27,Hai Phong,Investment,Deposit,Internet Banking,SME,Completed,Medium,41,16195554.51,0.0,77189360.39,84605498.41,647
TXN0179,2026-06-28,Da Nang,Savings,Transfer,Mobile App,Corporate,Completed,Low,30,11592749.85,40574.62,65556035.92,218685088.59,662
TXN0180,2026-06-29,Ho Chi Minh,Current,Deposit,Mobile App,Retail,Completed,Low,30,11982464.61,0.0,77538500.53,19162034.65,654
TXN0181,2026-06-30,Can Tho,Credit,Transfer,POS,Premium,Completed,Medium,64,14637896.78,51232.64,62849371.11,50041187.94,644
TXN0182,2026-07-01,Ha Noi,Savings,Loan Repayment,Branch,SME,Completed,Low,35,8716334.48,8716.33,54124320.3,69927690.41,652
TXN0183,2026-07-02,Hai Phong,Current,Withdrawal,ATM,Corporate,Pending,Low,39,7007225.58,14014.45,167103080.27,214087151.83,685
TXN0184,2026-07-03,Da Nang,Credit,Payment,Internet Banking,Retail,Completed,Low,25,3496661.65,5244.99,163601173.63,20209868.14,667
TXN0185,2026-07-04,Ho Chi Minh,Investment,Deposit,Mobile App,Premium,Completed,Medium,42,14672226.08,0.0,178273399.71,56109241.68,685
TXN0186,2026-07-05,Can Tho,Savings,Transfer,Mobile App,SME,Completed,Low,31,7762393.27,27168.38,170483838.06,103751808.51,619
TXN0187,2026-07-06,Ha Noi,Current,Loan Repayment,POS,Retail,Completed,Low,36,6330532.01,6330.53,164146975.52,14808382.0,647
TXN0188,2026-07-07,Hai Phong,Credit,Withdrawal,Branch,Premium,Completed,Medium,41,9841390.23,19682.78,154285902.51,54304197.33,659
TXN0189,2026-07-08,Da Nang,Savings,Loan Repayment,ATM,SME,Completed,Medium,54,10240297.44,10240.3,144035364.77,104454687.86,620
TXN0190,2026-07-09,Ho Chi Minh,Current,Withdrawal,Internet Banking,Corporate,Failed,Low,35,4293835.43,8587.67,139732941.67,230683520.74,705
